id,label,title,group,concept,mechanics,keyPoints,when,mistakes,belt,gi,noGi,legal_ibjjf_gi,legal_ibjjf_nogi,legal_adcc,points_ibjjf,points_adcc,tags,prerequisites,setup_from,common_setups,chain_to,difficulty,drills,injury_risk,tap_warning,success_rate,energy_cost
447,Матрикс эскейп - Matrix Escape - Матрикс выход,Матрикс эскейп (Matrix Escape),escape,"Продвинутый выход из сайд-контроля через серию перекатов для восстановления гарда. Это сложная техника, требующая гибкости и тайминга.",1) Создание фрейма руками и ногами<br>2) Вращение корпуса под соперником<br>3) Использование импульса для создания пространства<br>4) Вставка колена или восстановление гарда<br>5) Переход в более безопасную позицию,• Фреймы создаются руками И ногами<br>• Вращение под соперником (не над ним!)<br>• Использование импульса<br>• Колено вставляется глубоко<br>• Плавное движение (не рывками),"В сайд-контроле снизу, когда стандартные выходы не работают.",• Отсутствие фреймов<br>• Вращение над соперником (не под ним!)<br>• Отсутствие использования импульса<br>• Рывки вместо плавного движения<br>• Колено не вставляется достаточно глубоко,purple,✔,✔,✔,✔,✔,0,0,"flexibility,recovery,frames,angle_control",133,13,13,"3, 1",4,Дрилл: Перекаты через плечо из сайд-контроля. Партнер сопротивляется 30%. 5 раз.,Средний (шея/плечи),Нет,50%,High
448,Мейпл лиф эскейп - Maple Leaf Half Guard Escape - Выход из халф-гарда,Мейпл лиф эскейп (Maple Leaf Half Guard Escape),escape,Выход из халф-гарда через переворот через плечо и восстановление гарда. Это продвинутая техника для выхода из-под давления.,1) Контроль ноги соперника (захват лодыжки/колена)<br>2) Переворот через плечо соперника<br>3) Создание фрейма ногой на бедре соперника<br>4) Восстановление гарда или халф-гарда<br>5) Переход в контратаку (если возможно),• Контроль ноги соперника ОБЯЗАТЕЛЕН<br>• Переворот через плечо (не через корпус!)<br>• Фрейм ногой на бедре<br>• Плавное вращение<br>• Готовность к восстановлению гарда,"В халф-гарде снизу, когда соперник давит весом.",• Отсутствие контроля ноги соперника<br>• Переворот не через плечо<br>• Отсутствие фрейма ногой<br>• Резкое вращение (потеря контроля)<br>• Отсутствие готовности к восстановлению гарда,purple,✔,✔,✔,✔,✔,0,0,"flexibility,recovery,frames,angle_control","3, 4","3, 4","3, 4","1, 3, 450",3,Дрилл: Переворот через плечо из халф-гарда. 5 раз.,Средний,Нет,60%,Med
450,Кик аут в халф гард - Kick Out to Half Guard - Удар ногой в халф-гард,Кик аут в халф гард (Kick Out to Half Guard),escape,Базовый выход из прохода гарда ударом ноги для восстановления халф-гарда. Это простой и эффективный способ остановить проход.,1) Удар ногой по ноге соперника (толчок)<br>2) Контроль его корпуса рукой<br>3) Восстановление халф-гарда<br>4) Немедленный фрейм<br>5) Переход в защиту или контратаку,• Удар ногой по ноге соперника ОБЯЗАТЕЛЕН<br>• Контроль корпуса рукой<br>• Восстановление халф-гарда<br>• Немедленный фрейм<br>• Переход в защиту,"Соперник проходит гард, пытаясь занять сайд-контроль.",• Слабый удар ногой<br>• Потеря контроля корпуса<br>• Отсутствие немедленного фрейма<br>• Медленное восстановление халф-гарда<br>• Отсутствие перехода в защиту,white,✔,✔,✔,✔,✔,0,0,"fundamental,recovery,guard_retention,frames","13, 90","13, 90","13, 90","3, 4, 133",1,Дрилл: Партнер проходит гард. Вы делаете кик аут + восстановление халф-гарда. 10 раз.,Низкий,Нет,80%,Low
451,Уолл уок эскейп - Wall Walk Escape - Выход у стены,Уолл уок эскейп (Wall Walk Escape),escape,Использование стены для создания фрейма и выхода из-под давления. Это продвинутая техника для ситуаций у стены.,1) Использование стены для поддержки (руки/ноги)<br>2) Контроль рук соперника<br>3) Постановка ног на стену (создание фрейма)<br>4) Создание дистанции<br>5) Восстановление гарда или выход в стойку,• Использование стены для поддержки ОБЯЗАТЕЛЬНО<br>• Контроль рук соперника<br>• Ноги на стене создают фрейм<br>• Создание дистанции<br>• Восстановление гарда,В сайд-контроле или маунте снизу у стены.,• Слабое использование стены<br>• Потеря контроля рук<br>• Отсутствие фрейма ногами на стене<br>• Отсутствие создания дистанции<br>• Отсутствие восстановления гарда,blue,✔,✔,✔,✔,✔,0,0,"wrestling,recovery,frames","13, 15","13, 15","13, 15","3, 1, 133",2,Дрилл: Выход у стены из сайд-контроля. 5 раз.,Низкий,Нет,70%,Med
110,Переход в открытый гард - Open Guard Entry - Вход в открытый гард,Переход в открытый гард (Open Guard Entry),transition,Создание дистанции фреймами и постановка стоп на бедра для контроля. Это базовый переход из закрытого гарда в открытый.,1) Создание дистанции фреймами (руки на бицепсах/бёдрах)<br>2) Постановка стоп на бёдра/бицепсы соперника<br>3) Разрыв закрытого гарда (размыкание ног)<br>4) Контроль осанки соперника<br>5) Активная работа стоп,• Фрейм на шее или бёдрах ОБЯЗАТЕЛЕН<br>• Разрыв закрытого гарда<br>• Активная работа стоп<br>• Контроль осанки соперника<br>• Стопы на бёдрах/бицепсах,Соперник пытается встать или давит в закрытом гарде.,• Потеря контроля осанки<br>• Стопы соскальзывают<br>• Отсутствие фрейма<br>• Слабый разрыв гарда<br>• Пассивные стопы,white,✔,✔,✔,✔,✔,0,0,"fundamental,distance,guard_play,frames","1, 2","1, 2","1, 2","5, 7, 8, 10",1,Дрилл: Разрыв закрытого гарда + постановка стоп на бицепсы. 10 раз.,Низкий,Нет,90%,Low
111,Закрытый → Баттерфляй - Closed to Butterfly - Переход в баттерфляй,Закрытый → Баттерфляй (Closed to Butterfly),transition,Разрыв закрытого гарда и постановка стоп внутрь бедер соперника (хуки). Это переход из закрытого гарда в баттерфляй для создания свипов.,1) Разрыв закрытого гарда (размыкание ног)<br>2) Постановка стоп внутрь бёдер соперника (хуки)<br>3) Контроль осанки соперника<br>4) Активные хуки (поднятие бёдер)<br>5) Колени разведены,• Разрыв только при контроле осанки<br>• Активные хуки (не пассивные!)<br>• Колени разведены<br>• Контроль осанки соперника<br>• Стопы внутрь бёдер,Соперник отступает или поднимает корпус в закрытом гарде.,• Слишком ранний разрыв без контроля осанки<br>• Пассивные хуки<br>• Отсутствие контроля осанки<br>• Колени сведены<br>• Стопы не внутрь бёдер,blue,✔,✔,✔,✔,✔,0,0,"transition,guard_play,hooks",1,1,1,"5, 73, 391",2,Дрилл: Переход из закрытого гарда в баттерфляй. 10 раз.,Низкий,Нет,85%,Low
112,Закрытый → Паук-гард - Closed to Spider Guard - Переход в паук-гард,Закрытый → Паук-гард (Closed to Spider Guard),transition,Захват обоих рукавов и постановка стоп на бицепсы соперника для контроля дистанции. Это gi-специфичный переход для контроля дистанции.,1) Захват обоих рукавов соперника (кулаки внутрь)<br>2) Постановка стоп на бицепсы соперника<br>3) Тяга рукавов вниз<br>4) Контроль дистанции стопами<br>5) Разрыв осанки соперника,• Жёсткие захваты (кулаки внутрь)<br>• Стопы плотно на бицепсах<br>• Тяга вниз<br>• Контроль дистанции<br>• Разрыв осанки,Соперник тянет назад или имеет прямую осанку.,• Соскальзывание стоп с бицепсов<br>• Позволять выпрямить спину<br>• Слабые захваты<br>• Отсутствие тяги вниз<br>• Отсутствие контроля дистанции,blue,✔,✗,✔,✗,✔,0,0,"gi_only,long_limbs,control,base_break",1,1,1,"7, 75, 324",2,Дрилл: Переход из закрытого гарда в паук-гард. 10 раз.,Низкий,Нет,80%,Low
113,Сайд → Маунт - Side to Mount - Переход в маунт,Сайд → Маунт (Side to Mount),transition,Контроль дальней руки и перешагивание ближним коленом через корпус для занятия маунта. Это базовый переход в доминирующую позицию.,1) Контроль дальней руки соперника<br>2) Перешагивание ближним коленом через корпус соперника<br>3) Занятие маунта<br>4) Контроль головы соперника<br>5) Немедленное давление,• Вес на сопернике<br>• Колено близко к его голове<br>• Контроль дальней руки<br>• Контроль головы<br>• Немедленное давление,Соперник поворачивается лицом или пытается выйти из сайд-контроля.,• Слишком высокий подъём колена<br>• Потеря контроля дальней руки<br>• Отсутствие контроля головы<br>• Отсутствие немедленного давления<br>• Вес не на сопернике,white,✔,✔,✔,✔,✔,0,0,"fundamental,pressure,dominant,weight_distribution","14, 90, 96","14, 90, 96","14, 90, 96","16, 37, 39, 45",1,Дрилл: Переход из сайд-контроля в маунт. 10 раз.,Низкий,Нет,90%,Low
114,Маунт → Спина через Gift Wrap - Mount to Back via Gift Wrap - Переход на спину через Gift Wrap,Маунт → Спина через Gift Wrap (Mount to Back via Gift Wrap),transition,Изоляция дальней руки соперника и перекат через плечо для занятия спины. Это продвинутый переход на спину через контроль руки.,1) Изоляция дальней руки соперника (gift wrap)<br>2) Перекат через плечо<br>3) Установка хуков<br>4) Контроль шеи (seatbelt)<br>5) Переход в контроль спины,• Рука прижата к голове/шее соперника<br>• Вес давит<br>• Первый хук глубоко<br>• Контроль шеи (seatbelt)<br>• Плавный перекат,"Соперник переворачивается, защищаясь от армбара или треугольника.",• Слабая изоляция руки<br>• Перекат без контроля головы<br>• Отсутствие установки хуков<br>• Отсутствие контроля шеи<br>• Резкий перекат,blue,✔,✔,✔,✔,✔,0,0,"transition,back_take,control,limb_isolation","16, 37","16, 37","16, 37","17, 42, 55",2,Дрилл: Изоляция руки + перекат на спину. 5 раз.,Низкий,Нет,80%,Med
115,Сайд → Спина - Side to Back - Переход на спину,Сайд → Спина (Side to Back),transition,Контроль дальней руки и перешагивание ногой через корпус для занятия спины. Это базовый переход на спину из сайд-контроля.,1) Контроль дальней руки соперника<br>2) Перешагивание ногой через корпус соперника<br>3) Прижатие к спине<br>4) Установка хуков<br>5) Захват seatbelt,• Грудь прижата к спине<br>• Широкий шаг ногой<br>• Немедленный seatbelt захват<br>• Установка хуков<br>• Контроль руки,"Соперник поворачивается на живот, уходя от давления.",• Слишком большое расстояние при перешагивании<br>• Потеря контроля руки<br>• Отсутствие немедленного seatbelt<br>• Отсутствие установки хуков<br>• Грудь не прижата к спине,blue,✔,✔,✔,✔,✔,0,0,"transition,back_take,pressure,weight_distribution","14, 90","14, 90","14, 90","17, 42",2,Дрилл: Переход из сайд-контроля на спину. 5 раз.,Низкий,Нет,75%,Med
116,Черепаха → Спина - Turtle to Back - Переход на спину из черепахи,Черепаха → Спина (Turtle to Back),transition,"Контроль пояса/рук, вставка первого хука и захват seatbelt для занятия спины. Это базовый переход на спину из черепахи.","1) Контроль пояса/рук соперника<br>2) Вставка первого хука<br>3) Захват seatbelt (рука поверх плеча, другая под мышкой)<br>4) Установка второго хука<br>5) Переход в контроль спины",• Вес на сопернике<br>• Первый хук под углом<br>• Немедленный захват руки и шеи (seatbelt)<br>• Установка второго хука<br>• Контроль корпуса,Соперник поднимает голову или пытается встать из черепахи.,• Слишком ранняя установка хуков без контроля корпуса<br>• Отсутствие seatbelt захвата<br>• Отсутствие контроля пояса/рук<br>• Первый хук не под углом<br>• Отсутствие веса на сопернике,white,✔,✔,✔,✔,✔,0,0,"fundamental,back_take,control,weight_distribution",19,"19, 335, 428","19, 335, 428","17, 42, 55",1,Дрилл: Вставка хука из черепахи. 5 раз.,Низкий,Нет,85%,Low
117,Спин в рычаг локтя - Spin to Armbar - Переход в армбар через перекат,Спин в рычаг локтя (Spin to Armbar),transition,Контроль руки соперника и перекат через спину для атаки рычага локтя. Это продвинутый переход в сабмишен через перекат.,1) Контроль руки соперника<br>2) Перекат через спину/плечо соперника<br>3) Захват руки<br>4) Установка армбара<br>5) Финиш,• Плечо соперника прижато к ковру<br>• Ваш таз высоко<br>• Ноги плотно сжаты<br>• Контроль руки<br>• Плавный перекат,Соперник прячет руку или пытается выйти из-под контроля.,• Потеря контроля руки во время переката<br>• Слишком широкий угол<br>• Отсутствие контроля руки<br>• Таз не высоко<br>• Ноги не сжаты,blue,✔,✔,✔,✔,✔,0,0,"transition,submission_chain,flexibility","30, 37, 44","30, 37, 44","30, 37, 44","30, 37",2,Дрилл: Перекат в армбар из сайд-контроля. 5 раз.,Средний (локоть),При появлении боли в локте.,60%,Med
118,Халф-гард → Спина - Half Guard to Back - Переход на спину из халф-гарда,Халф-гард → Спина (Half Guard to Back),transition,Контроль дальней руки и ролл через плечо соперника для занятия спины. Это продвинутый переход на спину из халф-гарда.,1) Контроль дальней руки соперника<br>2) Ролл через плечо соперника<br>3) Установка хуков<br>4) Захват seatbelt<br>5) Переход в контроль спины,• Плотный захват руки<br>• Инверсия или ролл<br>• Немедленное занятие внутренней позиции<br>• Установка хуков<br>• Захват seatbelt,Соперник поднимает ногу или пытается сделать проход.,• Ролл без контроля руки<br>• Позволять развернуться лицом<br>• Отсутствие контроля руки<br>• Отсутствие установки хуков<br>• Отсутствие seatbelt захвата,blue,✔,✔,✔,✔,✔,0,0,"transition,back_take,inversion,angle_control","3, 4, 78","3, 4, 78","3, 4, 78","17, 42",2,Дрилл: Ролл на спину из халф-гарда. 5 раз.,Средний,Нет,65%,Med
119,X-гард → Прямой рычаг - X-Guard to Straight Ankle - Переход в прямой рычаг из X-гарда,X-гард → Прямой рычаг (X-Guard to Straight Ankle),transition,Контроль лодыжки и разворот для атаки прямого рычага голеностопа. Это продвинутый переход в leg lock из X-гарда.,1) Из X-гарда: контроль лодыжки<br>2) Разворот<br>3) Захват пятки<br>4) Установка прямого рычага<br>5) Финиш,• Голова снаружи бедра<br>• Контроль лодыжки обеими руками<br>• Давление пяткой<br>• Разворот<br>• Плавное движение,Соперник поднимает ногу или теряет баланс в стойке.,• Потеря контроля лодыжки при развороте<br>• Прямая нога соперника<br>• Отсутствие контроля лодыжки<br>• Отсутствие разворота<br>• Отсутствие давления пяткой,purple,✔,✔,✔,✔,✔,0,0,"transition,leg_locks","10, 300","10, 300","10, 300","49, 50, 306",3,Дрилл: Захват пятки из X-гарда БЕЗ финиша. 5 раз.,Средний (голеностоп),При боли в голеностопе.,50%,Med
351,Треугольник → Рычаг локтя - Triangle to Armbar - Треугольник в армбар,Треугольник → Рычаг локтя (Triangle to Armbar),transition,"Когда соперник защищает шею от треугольника, его рука остаётся у вас между ног — уже изолированная и готовая для рычага. Смена атаки быстрее, чем его защита.","1) Сохраняем контроль головы и руки соперника из позиции треугольника<br>2) Захватываем его руку обеими руками, прижимаем запястье к своей груди<br>3) Разворачиваем таз перпендикулярно руке (угол!)<br>4) Нога с шеи переносится на голову и давит вниз<br>5) Поднимаем таз вверх — рука разгибается через ваш таз","• Контроль руки НЕ отпускается ни на секунду<br>• Угол таза перпендикулярно руке соперника<br>• Нога давит на голову вниз<br>• Колени сжаты вокруг руки<br>• Таз поднимается вверх, а не тянет руку вбок",Соперник поднимает корпус или начинает вытаскивать руку из вашего треугольника — удушение уже не дожать.,• Потеря контроля головы при переходе<br>• Преждевременное раскрытие ног (соперник выдёргивает руку)<br>• Отсутствие угла (рука не разгибается)<br>• Разведённые колени<br>• Пауза между треугольником и армбаром (окно закрывается),purple,✔,✔,✔,✔,✔,0,0,"submission_chain,flexibility,limb_isolation,angle_control",31,31,31,"30, 33",3,Дрилл: Переход из треугольника в армбар. 5 раз.,Средний (локоть),При боли в локте.,60%,Med
352,Рычаг локтя → Омоплата - Armbar to Omoplata - Армбар в омоплату,Рычаг локтя → Омоплата (Armbar to Omoplata),transition,"Защищаясь от армбара, соперник тянет руку назад — и сам подаёт плечо под омоплату. Вы следуете за его защитой, а не боретесь с ней.","1) Соперник оттягивает руку — сохраняем контроль его запястья<br>2) Разворачиваем корпус в сторону его головы<br>3) Нога перекидывается через его спину/плечо<br>4) Садимся, сгибая его руку за спину (фигура 4 ногами)<br>5) Наклон корпуса вперёд — давление на плечо","• Запястье соперника под контролем ВСЕГДА<br>• Разворот корпуса синхронно с перекидыванием ноги<br>• Его локоть прижат к вашему бедру<br>• Контроль его пояса/корпуса от переката<br>• Финиш наклоном корпуса, не рывком","Соперник мощно оттягивает атакуемую руку назад, спасаясь от рычага локтя.",• Потеря контроля запястья (рука ушла)<br>• Слишком широкий угол разворота<br>• Соперник перекатывается вперёд — нет контроля корпуса<br>• Нога не дожата через плечо<br>• Попытка дожать силой без позиции,purple,✔,✔,✔,✔,✔,0,0,"submission_chain,flexibility,limb_isolation,angle_control",30,30,30,"33, 32",3,Дрилл: Переход из армбара в омоплату. 5 раз.,Средний (плечо),При боли в плече.,50%,High
